Model vae

{'model': 'VAE_ResNet', 'filename': 'vae', 'num_workers': 4, 'loss_fn': 'fixed decoder variance', 'learn_dec_logvar': False, 'input_dim': 196608, 'input_channels': 3, 'latent_dim': 64, 'out_activation': 'sigmoid', 'dropout': 0.2, 'weight_init': 'normal_init', 'conv1_out_channels': 8, 'latent_conv1_out_channels': 1024, 'kernel_size': 3, 'num_scale_blocks': 6, 'block_per_scale': 1, 'depth_per_block': 2, 'fc_dim': 1024, 'image_size': 256, 'batch_size': 12, 'snapshot': 100, 'console_print': 1, 'beta_min': 0, 'beta_max': 3, 'beta_steps': 100, 'kl_anneal': True, 'gamma_warmup': 0, 'gamma_min': 1, 'gamma_max': 3, 'gamma_steps': 100, 'gamma_anneal': True, 'min_dist_samples': 18, 'weight_dist_loss': 40, 'distance_type': '1', 'epochs': 55, 'lr_schedule': [], 'optim_type': 'Adam', 'random_seed': 1201, 'exp_dir': './models/VAE_ShirtFolding_L1', 'device': device(type='cuda'), 'num_parameters': 21207146}

*- Train/test action_distance:
   Epoch 0 25.84/30.74
   Epoch 1 25.05/29.98
   Epoch 2 26.45/31.98
   Epoch 3 27.66/27.29
   Epoch 4 27.59/30.86
   Epoch 5 27.77/31.10
   Epoch 6 27.76/31.16
   Epoch 7 27.61/30.37
   Epoch 8 27.43/29.05
   Epoch 9 27.29/29.65
   Epoch 10 27.28/30.64
   Epoch 11 27.23/28.28
   Epoch 12 26.62/30.18
   Epoch 13 26.93/29.97
   Epoch 14 27.20/29.76
   Epoch 15 26.96/29.24
   Epoch 16 26.76/28.08
   Epoch 17 26.92/29.14
   Epoch 18 26.77/27.54
   Epoch 19 26.84/28.19
   Epoch 20 26.57/29.69
   Epoch 21 26.47/28.57
   Epoch 22 26.81/29.62
   Epoch 23 26.56/28.66
   Epoch 24 26.61/28.82
   Epoch 25 26.24/29.52
   Epoch 26 26.75/28.26
   Epoch 27 26.42/28.26
   Epoch 28 26.56/29.25
   Epoch 29 26.43/28.39
   Epoch 30 26.48/28.80
   Epoch 31 26.38/29.42
   Epoch 32 26.28/28.79
   Epoch 33 26.69/28.55
   Epoch 34 26.56/28.57
   Epoch 35 26.71/27.47
   Epoch 36 26.57/28.77
   Epoch 37 26.33/27.19
   Epoch 38 26.18/28.54
   Epoch 39 26.27/28.72
   Epoch 40 26.33/28.19
   Epoch 41 26.18/28.41
   Epoch 42 26.45/27.07
   Epoch 43 26.02/27.39
   Epoch 44 26.51/27.42
   Epoch 45 26.20/28.38
   Epoch 46 25.96/27.17
   Epoch 47 26.30/28.05
   Epoch 48 26.07/27.93
   Epoch 49 26.13/27.44
   Epoch 50 26.03/29.26
   Epoch 51 26.21/27.69
   Epoch 52 26.03/27.20
   Epoch 53 25.88/27.69
   Epoch 54 26.05/26.99


*- Train/test no_action_distance:
   Epoch 0 21.07/20.47
   Epoch 1 16.15/16.58
   Epoch 2 13.33/13.98
   Epoch 3 12.05/10.62
   Epoch 4 10.57/10.30
   Epoch 5 9.14/10.03
   Epoch 6 8.61/9.04
   Epoch 7 7.83/8.06
   Epoch 8 7.32/8.35
   Epoch 9 7.14/7.35
   Epoch 10 6.64/7.42
   Epoch 11 6.61/7.04
   Epoch 12 6.30/7.11
   Epoch 13 6.23/6.54
   Epoch 14 6.18/6.24
   Epoch 15 6.10/6.47
   Epoch 16 6.12/6.48
   Epoch 17 6.00/6.31
   Epoch 18 6.03/5.91
   Epoch 19 6.05/6.54
   Epoch 20 5.74/6.08
   Epoch 21 5.62/5.87
   Epoch 22 5.61/6.17
   Epoch 23 5.66/5.94
   Epoch 24 5.75/5.71
   Epoch 25 5.77/6.23
   Epoch 26 5.88/5.94
   Epoch 27 5.92/5.95
   Epoch 28 5.87/6.79
   Epoch 29 6.03/6.33
   Epoch 30 6.15/6.12
   Epoch 31 6.16/6.55
   Epoch 32 6.20/6.54
   Epoch 33 6.26/6.56
   Epoch 34 6.35/6.77
   Epoch 35 6.35/6.54
   Epoch 36 6.46/6.48
   Epoch 37 6.53/6.60
   Epoch 38 6.49/6.87
   Epoch 39 6.61/7.04
   Epoch 40 6.68/6.97
   Epoch 41 6.75/6.80
   Epoch 42 6.81/7.20
   Epoch 43 6.81/7.05
   Epoch 44 6.84/7.73
   Epoch 45 6.97/7.05
   Epoch 46 6.94/7.41
   Epoch 47 7.14/6.78
   Epoch 48 7.07/7.39
   Epoch 49 7.20/7.06
   Epoch 50 7.18/7.23
   Epoch 51 7.27/7.80
   Epoch 52 7.31/7.31
   Epoch 53 7.27/7.98
   Epoch 54 7.45/7.63
*- Other distances at the end of training:
{'1': {'train_action': 26.97, 'train_noaction': 7.35, 'test_action': 26.96, 'test_noaction': 7.62}, '2': {'train_action': 3.82, 'train_noaction': 1.19, 'test_action': 3.82, 'test_noaction': 1.23}, 'inf': {'train_action': 0.89, 'train_noaction': 0.48, 'test_action': 0.89, 'test_noaction': 0.48}}
