Model vae

{'model': 'VAE_ResNet', 'filename': 'vae', 'num_workers': 4, 'loss_fn': 'fixed decoder variance', 'learn_dec_logvar': False, 'input_dim': 196608, 'input_channels': 3, 'latent_dim': 64, 'out_activation': 'sigmoid', 'dropout': 0.2, 'weight_init': 'normal_init', 'conv1_out_channels': 8, 'latent_conv1_out_channels': 1024, 'kernel_size': 3, 'num_scale_blocks': 6, 'block_per_scale': 1, 'depth_per_block': 2, 'fc_dim': 1024, 'image_size': 256, 'batch_size': 12, 'snapshot': 100, 'console_print': 1, 'beta_min': 0, 'beta_max': 3, 'beta_steps': 100, 'kl_anneal': True, 'gamma_warmup': 0, 'gamma_min': 1, 'gamma_max': 3, 'gamma_steps': 100, 'gamma_anneal': True, 'min_dist_samples': 18, 'weight_dist_loss': 40, 'distance_type': '1', 'epochs': 55, 'lr_schedule': [], 'optim_type': 'Adam', 'random_seed': 1201, 'exp_dir': './models/VAE_ShirtFolding_L1', 'device': device(type='cuda'), 'num_parameters': 21207146}

*- Model path: ./models/VAE_ShirtFolding_L1/vae_model.pt
*- Training dataset: hardcode
*- Number of training examples: 3200
*- Model parameters/Training examples ratio: 6627.233125
*- Number of testing examples: 1600
*- Learning rate schedule: []
*- Train/validation model_loss:
   Epoch 0 185008.78/183714.60
   Epoch 1 182127.49/182008.84
   Epoch 2 181877.20/182158.98
   Epoch 3 181684.22/181551.10
   Epoch 4 181474.26/181448.63
   Epoch 5 181363.54/181353.97
   Epoch 6 181313.97/181522.40
   Epoch 7 181249.78/181613.13
   Epoch 8 181219.72/181370.51
   Epoch 9 181198.68/181369.03
   Epoch 10 181171.99/181347.87
   Epoch 11 181165.69/181380.04
   Epoch 12 181146.23/181232.18
   Epoch 13 181136.53/181131.15
   Epoch 14 181128.64/181337.39
   Epoch 15 181131.25/181302.95
   Epoch 16 181127.65/181279.16
   Epoch 17 181113.71/181240.81
   Epoch 18 181113.23/181170.88
   Epoch 19 181120.90/181161.41
   Epoch 20 181076.23/181146.75
   Epoch 21 181073.48/181178.11
   Epoch 22 181078.58/181191.77
   Epoch 23 181085.40/181163.15
   Epoch 24 181088.51/181156.76
   Epoch 25 181094.22/181211.47
   Epoch 26 181098.11/181185.01
   Epoch 27 181103.20/181225.64
   Epoch 28 181106.24/181201.29
   Epoch 29 181108.97/181134.15
   Epoch 30 181120.39/181277.20
   Epoch 31 181123.41/181167.97
   Epoch 32 181126.75/181184.21
   Epoch 33 181131.05/181192.79
   Epoch 34 181136.02/181248.04
   Epoch 35 181140.72/181249.29
   Epoch 36 181146.20/181192.26
   Epoch 37 181156.32/181212.85
   Epoch 38 181155.61/181238.91
   Epoch 39 181162.30/181187.97
   Epoch 40 181170.17/181216.57
   Epoch 41 181173.15/181214.95
   Epoch 42 181183.29/181296.28
   Epoch 43 181184.28/181257.34
   Epoch 44 181190.02/181218.42
   Epoch 45 181196.29/181240.16
   Epoch 46 181202.28/181276.16
   Epoch 47 181209.84/181298.49
   Epoch 48 181214.38/181252.64
   Epoch 49 181220.45/181316.48
   Epoch 50 181228.21/181232.09
   Epoch 51 181233.69/181248.40
   Epoch 52 181238.80/181310.39
   Epoch 53 181243.37/181248.10
   Epoch 54 181251.65/181316.36
*- Train/validation recon_loss:
   Epoch 0 184777.20/183494.54
   Epoch 1 181926.44/181825.04
   Epoch 2 181706.62/181995.77
   Epoch 3 181521.59/181405.72
   Epoch 4 181319.36/181306.08
   Epoch 5 181216.71/181201.74
   Epoch 6 181166.01/181375.70
   Epoch 7 181101.42/181465.56
   Epoch 8 181068.71/181210.90
   Epoch 9 181041.56/181211.60
   Epoch 10 181012.30/181182.06
   Epoch 11 180998.96/181210.62
   Epoch 12 180974.72/181060.54
   Epoch 13 180959.10/180953.95
   Epoch 14 180943.88/181149.84
   Epoch 15 180940.22/181109.84
