img_id obj_id sub_id rel_id
1 23 18 1
2 13 12 0
3 40 22 1
4 2 9 0
5 6 20 1
6 41 32 0
7 37 22 1
8 19 21 1
9 21 22 1
10 21 30 0
11 40 22 1
12 20 28 1
13 42 33 0
14 19 29 1
16 16 13 0
17 1 8 0
18 39 23 1
19 1 8 0
20 23 32 1
21 21 17 1
22 25 40 1
23 31 30 0
24 3 11 0
25 8 19 0
26 2 14 0
27 7 22 0
28 9 8 0
29 20 27 1
30 23 35 0
31 36 37 0
32 36 34 0
33 17 14 1
34 22 19 1
35 20 35 1
36 27 32 1
52 12 18 1
53 5 17 0
54 28 26 0
55 16 37 0
56 2 10 0
57 13 12 0
58 5 17 1
59 11 8 0
60 26 39 1
61 23 40 1
62 12 17 0
63 4 14 0
64 5 19 1
65 21 27 1
66 27 34 1
67 8 12 0
68 20 29 1
69 6 18 1
70 26 37 1
91 36 38 0
92 29 44 0
93 5 22 0
94 9 0 0
73 3 10 0
79 14 17 0
80 1 8 0
81 31 30 0
82 31 25 1
83 5 17 0
84 23 19 1
85 13 12 0
86 19 17 1
87 24 19 1
88 32 27 0
106 39 41 1
107 11 3 0
108 28 34 0
109 25 27 1
110 19 25 0
111 6 16 0
112 6 15 0
114 20 21 0
116 23 31 0
119 6 14 1
120 0 8 0
121 20 36 0
128 6 19 0
130 26 32 1
131 27 32 0
132 25 24 1
133 32 36 0
123 35 37 0
125 31 37 0
126 6 19 0
127 30 31 0
